"Title","UK Real net national disposable income per capita CVM SA"
"CDID","MWB7"
"PreUnit",""
"Unit",""
"Release date","31-03-2020"
"Next release","30 June 2020"
"1995","17902"
"1996","18458"
"1997","18739"
"1998","20434"
"1999","20828"
"2000","21560"
"2001","22383"
"2002","23007"
"2003","23709"
"2004","24106"
"2005","24767"
"2006","24925"
"2007","25038"
"2008","24271"
"2009","22967"
"2010","23471"
"2011","23574"
"2012","23383"
"2013","23565"
"2014","24237"
"2015","24681"
"2016","24956"
"2017","25465"
"2018","25674"
"2019","25845"
